[1200.0, 80.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 500.0, 0.0]
[100.0, 1200.0, 120.0, 160.0, 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[80.0, 100.0, 1200.0, 200.0, 50.0, 0.0, 0.0, 300.0, 0.0, 0.0, 400.0, 0.0, 0.0]
[0.0, 150.0, 180.0, 1200.0, 20.0, 120.0, 0.0, 0.0, 200.0, 0.0, 0.0, 0.0, 0.0]
[0.0, 200.0, 40.0, 20.0, 1200.0, 150.0, 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[0.0, 0.0, 0.0, 250.0, 180.0, 1200.0, 0.0, 90.0, 0.0, 0.0, 50.0, 0.0, 500.0]
[0.0, 0.0, 0.0, 0.0, 200.0, 0.0, 1200.0, 0.0, 0.0, 70.0, 40.0, 0.0, 0.0]
[0.0, 0.0, 300.0, 0.0, 0.0, 60.0, 0.0, 1200.0, 20.0, 90.0, 0.0, 0.0, 0.0]
[0.0, 0.0, 0.0, 300.0, 0.0, 0.0, 0.0, 30.0, 1200.0, 0.0, 90.0, 500.0, 0.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 70.0, 50.0, 0.0, 1200.0, 0.0, 0.0, 0.0]
[0.0, 0.0, 400.0, 0.0, 0.0, 40.0, 60.0, 0.0, 50.0, 0.0, 1200.0, 0.0, 0.0]
[500.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 400.0, 0.0, 0.0, 1200.0, 500.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 500.0, 1200.0]
